USD,GBP,EUR,Date,Year
83.5066,153.07809,100.43661,2004-06-18,2004
83.55791,153.28634,101.13221,2004-06-21,2004
83.58034,152.11195,100.97331,2004-06-22,2004
83.58718,151.96994,101.30772,2004-06-23,2004
83.61482,152.01591,101.41083,2004-06-24,2004
83.61711,152.27175,101.39743,2004-06-25,2004
83.61985,152.64691,101.61426,2004-06-28,2004
83.52315,151.95573,101.31216,2004-06-29,2004
83.35019,150.74222,101.10342,2004-06-30,2004
83.37051,151.53424,101.57863,2004-07-01,2004
83.37051,151.92246,101.496,2004-07-02,2004
83.51518,153.70537,103.119,2004-07-05,2004
83.89115,153.8164,103.05061,2004-07-06,2004
83.92427,155.21742,103.62346,2004-07-07,2004
83.75643,154.91851,103.4298,2004-07-08,2004
83.77596,155.16352,103.79702,2004-07-09,2004
83.7816,156.04857,104.02401,2004-07-12,2004
83.70806,155.22226,103.38404,2004-07-13,2004
83.54266,155.15615,103.38448,2004-07-14,2004
83.61058,154.76976,103.43081,2004-07-15,2004
83.65481,155.2399,103.32599,2004-07-16,2004
83.63768,156.36652,103.86512,2004-07-19,2004
83.65425,155.71283,103.99007,2004-07-20,2004
83.77513,154.61751,103.17058,2004-07-21,2004
83.85807,154.0346,102.82111,2004-07-22,2004
83.8603,153.83913,102.20991,2004-07-23,2004
83.88175,154.45783,101.98478,2004-07-26,2004
83.88976,154.70691,102.23759,2004-07-27,2004
83.88381,152.53798,100.90625,2004-07-28,2004
83.88582,152.51566,100.90788,2004-07-29,2004
83.91508,152.52494,101.20743,2004-07-30,2004
83.97563,153.87714,101.4593,2004-08-02,2004
83.98949,152.74274,100.93011,2004-08-03,2004
83.96149,152.83972,100.89941,2004-08-04,2004
83.97787,153.35998,101.30717,2004-08-05,2004
84.03747,153.2461,101.31779,2004-08-06,2004
84.0672,154.98846,103.15744,2004-08-09,2004
84.10031,154.62098,103.58815,2004-08-10,2004
84.11543,153.887,102.95346,2004-08-11,2004
84.21551,154.40895,103.39727,2004-08-12,2004
84.28896,153.35708,102.9922,2004-08-13,2004
84.41984,155.57007,104.31322,2004-08-16,2004
84.48467,162.951,130.763,2004-08-17,2004
97.599,154.89742,104.51614,2004-08-18,2004
84.73137,155.13757,104.96596,2004-08-19,2004
84.82098,155.1481,104.75913,2004-08-20,2004
84.88707,154.41121,104.24393,2004-08-23,2004
84.98608,153.47226,103.18206,2004-08-24,2004
